points,algorithm,num_init,time_init_mean,time_init_std,time_prep_mean,time_prep_std,num_query,num_crashed,%crashed,num_timeout,%timeout,num_found,%found,num_f_gt_unavailable,%f_gt_unavailable,num_f_gt_not_found,%f_gt_not_found,num_f_gt_ok,%f_gt_ok,num_f_gt_err_weakly_simple,%f_gt_err_weakly_simple,num_f_gt_err_snap,%f_gt_err_snap,num_f_gt_err_other,%f_gt_err_other,num_not_found,%not_found,num_n_gt_unavailable,%n_gt_unavailable,num_n_gt_found,%n_gt_found,num_n_gt_ok,%n_gt_ok,num_crashed_timeout,%crashed_timeout,num_gt_unavailable,%gt_unavailable,num_gt_found_missmatch,%gt_found_missmatch,num_gt_ok,%gt_ok,num_gt_err_feature,%gt_err_feature,num_gt_err_other,%gt_err_other,time_locate,time_query,time_intersect,time_query_intersect,time_total,time_found_mean,time_found_std,%time_locate,%time_query,%time_intersect,%time_query_intersect
NearV,CGAL-TEA-CI,34,0.6130348914117647,0.4867222965664469,0.0058975399411764695,0.0024449907121395125,34000,959,2.820588235294118,1,0.0029411764705882352,19626,57.72352941176471,0,0.0,0,0.0,19626,57.72352941176471,0,0.0,0,0.0,0,0.0,13414,39.45294117647059,0,0.0,0,0.0,13414,39.45294117647059,960,2.823529411764706,0,0.0,0,0.0,33040,97.17647058823529,0,0.0,0,0.0,0.9447764730000027,0.0,0.0,0.3941828819999972,1.3389593550000023,6.822375191073078e-5,3.5812354622689295e-5,70.56050428057998,0.0,0.0,29.43949571941984
NearV,CGAL-RSA-CE,34,0.8159415699705882,0.6531572969319231,8.96470588235294e-8,2.4885047662159496e-8,34000,823,2.4205882352941175,0,0.0,19763,58.12647058823529,1,0.0029411764705882352,0,0.0,19596,57.63529411764706,0,0.0,0,0.0,166,0.48823529411764704,13414,39.45294117647059,0,0.0,0,0.0,13414,39.45294117647059,823,2.4205882352941175,1,0.0029411764705882352,0,0.0,33010,97.08823529411765,0,0.0,166,0.48823529411764704,1.2693711199999935,0.0,0.0,162.36363119000043,163.6330023099996,0.008279765334716369,0.004105450487462436,0.7757427304274441,0.0,0.0,99.22425726957306
NearV,CGAL-RSA-CI,34,0.6125265906764706,0.4864842339612094,5.082352941176471e-8,8.68461052051548e-9,34000,1872,5.5058823529411764,0,0.0,18714,55.04117647058823,1,0.0029411764705882352,0,0.0,17807,52.37352941176471,21,0.061764705882352944,0,0.0,885,2.6029411764705883,13414,39.45294117647059,0,0.0,0,0.0,13414,39.45294117647059,1872,5.5058823529411764,1,0.0029411764705882352,0,0.0,31221,91.8264705882353,21,0.061764705882352944,885,2.6029411764705883,0.9363462039999978,0.0,0.0,91.34331461499981,92.27966081900041,0.004931049525435525,0.0024370751581728953,1.0146831877032687,0.0,0.0,98.98531681229609
NearV,VisiLibity1,34,5.024241176470587e-5,2.058506580335225e-5,0.0,0.0,34000,0,0.0,0,0.0,22852,67.21176470588236,1,0.0029411764705882352,2267,6.66764705882353,17180,50.529411764705884,43,0.1264705882352941,1255,3.6911764705882355,2106,6.194117647058824,11148,32.78823529411765,0,0.0,1,0.0029411764705882352,11147,32.78529411764706,0,0.0,1,0.0029411764705882352,2268,6.670588235294118,28327,83.31470588235294,1298,3.8176470588235296,2106,6.194117647058824,6.506068026999969,0.0,0.0,666.8192128809985,673.3252809079985,0.029464610577104783,0.013318787821889465,0.9662592823228544,0.0,0.0,99.03374071767715
NearV,TriVis,34,8.559705882352942e-7,8.881370521215511e-7,0.01605264864705882,0.00689035739873935,34000,0,0.0,0,0.0,25691,75.56176470588235,1,0.0029411764705882352,5105,15.014705882352942,19725,58.01470588235294,43,0.1264705882352941,817,2.402941176470588,0,0.0,8309,24.438235294117646,0,0.0,0,0.0,8309,24.438235294117646,0,0.0,1,0.0029411764705882352,5105,15.014705882352942,28034,82.45294117647059,860,2.5294117647058822,0,0.0,0.026588065000000254,0.1173242859999991,0.022278383000000127,0.13960266899999946,0.16619073399999923,6.468830874625325e-6,4.268163790839348e-6,15.998524322060206,70.59616572846934,13.405309949470606,84.00147567794008
Mid,CGAL-TEA-CE,34,0.8146482314411765,0.6483501879445376,0.007872639970588234,0.0033166660977116537,34000,0,0.0,0,0.0,18763,55.18529411764706,0,0.0,0,0.0,18763,55.18529411764706,0,0.0,0,0.0,0,0.0,15237,44.81470588235294,0,0.0,0,0.0,15237,44.81470588235294,0,0.0,0,0.0,0,0.0,34000,100.0,0,0.0,0,0.0,1.2927338349999864,0.0,0.0,1.0280432790000023,2.320777113999986,0.0001236890216916264,5.454895880394134e-5,55.702627675946395,0.0,0.0,44.29737232405371
Mid,CGAL-TEA-CI,34,0.6155801000882353,0.49019926424795784,0.005897077529411767,0.0024447627132174686,34000,1010,2.9705882352941177,0,0.0,17753,52.21470588235294,0,0.0,0,0.0,17753,52.21470588235294,0,0.0,0,0.0,0,0.0,15237,44.81470588235294,0,0.0,0,0.0,15237,44.81470588235294,1010,2.9705882352941177,0,0.0,0,0.0,32990,97.02941176470588,0,0.0,0,0.0,0.950910541999996,0.0,0.0,0.4505714019999971,1.4014819440000037,7.894338669520665e-5,3.816424709979107e-5,67.85035983310489,0.0,0.0,32.149640166894365
Mid,CGAL-RSA-CE,34,0.8120585667647058,0.6451621294421348,9.37941176470588e-8,2.4668443111828064e-8,34000,900,2.6470588235294117,0,0.0,17863,52.53823529411765,0,0.0,0,0.0,17732,52.15294117647059,0,0.0,0,0.0,131,0.38529411764705884,15237,44.81470588235294,0,0.0,0,0.0,15237,44.81470588235294,900,2.6470588235294117,0,0.0,0,0.0,32969,96.96764705882353,0,0.0,131,0.38529411764705884,1.2404271600000032,0.0,0.0,156.72236052800025,157.96278768799934,0.0088430156014107,0.003894850313504478,0.7852654274815892,0.0,0.0,99.21473457251899
Mid,CGAL-RSA-CI,34,0.6131134549411765,0.48881688576759213,5.0852941176470576e-8,8.139437673009022e-9,34000,1766,5.194117647058824,0,0.0,16997,49.991176470588236,0,0.0,0,0.0,16877,49.63823529411765,0,0.0,0,0.0,120,0.35294117647058826,15237,44.81470588235294,0,0.0,0,0.0,15237,44.81470588235294,1766,5.194117647058824,0,0.0,0,0.0,32114,94.45294117647059,0,0.0,120,0.35294117647058826,0.9159287839999941,0.0,0.0,88.2794974650002,89.19542624900028,0.005247715846855344,0.0023269830791065576,1.0268786444756297,0.0,0.0,98.97312135552428
Mid,VisiLibity1,34,4.9115088235294125e-5,1.98245939396187e-5,0.0,0.0,34000,0,0.0,0,0.0,34000,100.0,0,0.0,15237,44.81470588235294,16139,47.46764705882353,0,0.0,6,0.01764705882352941,2618,7.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15237,44.81470588235294,16139,47.46764705882353,6,0.01764705882352941,2618,7.7,9.143843066000027,0.0,0.0,989.2799148980021,998.423757964005,0.029365404646000147,0.013265440743589619,0.9158278729911472,0.0,0.0,99.08417212700856
